zona_urbano_rural,nivel_educativo,nivel_socioeconomico,ingreso_total_hogar,edad_persona,genero,autoidentidad_indigena,tipo_hogar,total_personas_hogar,participa_fuerza_trabajo,pobreza_multidimensional,pobreza_ingreso,codigo_comuna,nombre_comuna,representatividad
1,3,2,746611.0,17,1,1,3,5,3.0,0.0,3.0,8103,Chiguayante,113
1,5,2,559030.0,17,2,0,3,4,3.0,0.0,2.0,8103,Chiguayante,95
1,3,2,600000.0,17,1,0,3,6,3.0,0.0,2.0,8103,Chiguayante,104
1,5,2,1733192.0,17,2,1,3,6,3.0,0.0,3.0,8103,Chiguayante,83
1,3,2,1608785.0,17,2,0,3,4,3.0,0.0,3.0,8103,Chiguayante,90
1,3,1,1027615.0,17,1,0,2,4,3.0,0.0,3.0,8103,Chiguayante,72
1,3,2,756109.0,17,1,0,4,4,3.0,0.0,3.0,8103,Chiguayante,97
1,3,2,767736.0,17,2,0,4,4,3.0,0.0,3.0,8103,Chiguayante,104
1,5,1,2005673.0,18,2,0,3,4,3.0,0.0,3.0,8103,Chiguayante,102
1,2,2,441667.0,18,2,0,4,4,3.0,1.0,2.0,8103,Chiguayante,98
1,9,2,619774.0,18,2,1,4,5,3.0,0.0,2.0,8103,Chiguayante,74
1,9,2,781060.0,18,1,0,3,3,3.0,0.0,3.0,8103,Chiguayante,96
1,9,2,2758178.0,18,1,0,3,5,3.0,0.0,3.0,8103,Chiguayante,84
1,6,2,921813.0,18,1,0,2,3,3.0,0.0,3.0,8103,Chiguayante,74
1,3,2,1100000.0,18,1,1,5,7,3.0,1.0,3.0,8103,Chiguayante,88
1,5,2,767736.0,18,2,0,4,4,3.0,0.0,3.0,8103,Chiguayante,104
1,9,2,1788560.0,19,1,0,3,4,3.0,0.0,3.0,8103,Chiguayante,18
1,9,2,619774.0,19,1,1,4,5,3.0,0.0,2.0,8103,Chiguayante,74
1,5,2,582590.0,19,1,0,2,3,3.0,0.0,3.0,8103,Chiguayante,72
1,5,2,992340.0,19,2,0,2,4,3.0,0.0,3.0,8103,Chiguayante,85
1,5,3,1150000.0,19,1,0,2,3,1.0,0.0,3.0,8103,Chiguayante,91
1,5,1,420000.0,19,1,1,1,1,1.0,0.0,3.0,8103,Chiguayante,74
1,3,1,2015000.0,19,1,0,3,4,1.0,1.0,3.0,8103,Chiguayante,80
1,5,2,1245861.0,19,1,0,5,5,3.0,0.0,3.0,8103,Chiguayante,86
1,5,2,1800000.0,19,2,1,3,4,3.0,0.0,3.0,8103,Chiguayante,86
1,9,2,700000.0,19,2,0,3,5,3.0,0.0,3.0,8103,Chiguayante,111
1,9,3,1364333.0,19,1,0,2,3,3.0,0.0,3.0,8103,Chiguayante,100
1,5,2,529504.0,20,2,0,3,3,1.0,0.0,3.0,8103,Chiguayante,78
1,9,2,761408.0,20,2,0,3,3,3.0,0.0,3.0,8103,Chiguayante,96
1,9,1,610775.0,20,2,0,2,3,3.0,0.0,3.0,8103,Chiguayante,227
1,7,1,2050000.0,20,2,0,3,5,3.0,0.0,3.0,8103,Chiguayante,105
1,7,2,482663.0,20,2,1,2,3,3.0,0.0,3.0,8103,Chiguayante,72
1,5,2,3520137.0,20,2,0,5,5,1.0,0.0,3.0,8103,Chiguayante,101
1,5,2,1082333.0,20,1,1,3,3,1.0,0.0,3.0,8103,Chiguayante,70
1,9,2,600000.0,20,1,0,3,6,3.0,0.0,2.0,8103,Chiguayante,103
1,5,2,441667.0,21,1,0,4,4,3.0,1.0,2.0,8103,Chiguayante,98
1,9,2,972824.0,21,2,0,3,3,3.0,0.0,3.0,8103,Chiguayante,87
1,9,3,1362469.0,21,1,0,4,4,1.0,0.0,3.0,8103,Chiguayante,156
1,9,2,950857.0,21,2,0,4,6,3.0,0.0,3.0,8103,Chiguayante,77
1,9,2,2924167.0,21,2,0,2,3,3.0,0.0,3.0,8103,Chiguayante,224
1,9,2,520000.0,21,1,0,3,4,3.0,0.0,2.0,8103,Chiguayante,114
1,9,2,992340.0,21,1,0,2,4,1.0,0.0,3.0,8103,Chiguayante,84
1,5,1,1264257.0,21,1,0,3,4,1.0,0.0,3.0,8103,Chiguayante,92
1,9,1,442330.0,21,1,0,3,3,3.0,0.0,2.0,8103,Chiguayante,97
1,7,1,844257.0,21,1,0,4,5,3.0,1.0,3.0,8103,Chiguayante,108
1,7,2,1299778.0,21,1,0,3,5,3.0,0.0,3.0,8103,Chiguayante,85
1,5,1,507826.0,21,2,0,2,5,3.0,1.0,2.0,8103,Chiguayante,86
1,5,2,1100000.0,21,2,0,5,7,3.0,1.0,3.0,8103,Chiguayante,88
1,9,2,1450000.0,21,1,0,3,3,2.0,0.0,3.0,8103,Chiguayante,75
1,5,2,615801.0,21,1,0,3,3,3.0,1.0,3.0,8103,Chiguayante,72
1,8,1,1057614.0,21,2,0,2,4,1.0,0.0,3.0,8103,Chiguayante,87
1,7,2,1158152.0,22,2,0,5,7,3.0,1.0,3.0,8103,Chiguayante,21
1,6,2,1158152.0,22,1,0,5,7,1.0,1.0,3.0,8103,Chiguayante,20
1,9,2,709339.0,22,1,0,2,3,1.0,0.0,3.0,8103,Chiguayante,71
1,9,2,1818423.0,22,2,0,4,8,3.0,0.0,3.0,8103,Chiguayante,82
1,9,1,824751.0,22,2,0,2,2,3.0,0.0,3.0,8103,Chiguayante,182
1,11,1,3984166.0,22,1,1,5,8,1.0,0.0,3.0,8103,Chiguayante,201
1,9,2,938000.0,22,2,0,2,3,3.0,0.0,3.0,8103,Chiguayante,85
1,9,2,1456667.0,22,1,0,3,4,3.0,0.0,3.0,8103,Chiguayante,80
1,9,2,958272.0,22,2,0,2,3,3.0,0.0,3.0,8103,Chiguayante,62
1,9,2,755935.0,22,2,0,3,4,3.0,0.0,3.0,8103,Chiguayante,82
1,9,1,1027615.0,22,2,0,2,4,3.0,0.0,3.0,8103,Chiguayante,73
1,7,2,1029917.0,22,2,0,2,2,1.0,0.0,3.0,8103,Chiguayante,87
1,9,1,564437.0,22,2,1,3,4,3.0,0.0,2.0,8103,Chiguayante,88
1,9,2,5250000.0,23,1,0,3,5,2.0,0.0,3.0,8103,Chiguayante,177
1,5,2,847025.0,23,1,0,3,3,2.0,0.0,3.0,8103,Chiguayante,75
1,9,2,1321667.0,23,1,0,3,3,3.0,0.0,3.0,8103,Chiguayante,85
1,8,3,1615417.0,23,2,0,3,4,1.0,0.0,3.0,8103,Chiguayante,154
1,8,2,900000.0,23,2,0,3,3,3.0,0.0,3.0,8103,Chiguayante,84
1,9,2,868422.0,23,2,0,2,3,3.0,0.0,3.0,8103,Chiguayante,73
1,7,2,1313333.0,23,2,0,3,3,3.0,0.0,3.0,8103,Chiguayante,84
1,7,1,844257.0,23,1,0,4,5,2.0,1.0,3.0,8103,Chiguayante,108
1,9,2,330391.0,23,2,0,3,4,3.0,0.0,1.0,8103,Chiguayante,77
1,8,1,1510000.0,23,2,0,5,4,1.0,0.0,3.0,8103,Chiguayante,92
1,7,2,1767500.0,23,1,0,3,4,3.0,0.0,3.0,8103,Chiguayante,126
1,5,2,1733192.0,23,1,1,3,6,1.0,0.0,3.0,8103,Chiguayante,82
1,11,2,1788560.0,24,2,0,3,4,1.0,0.0,3.0,8103,Chiguayante,17
1,5,2,1300000.0,24,1,0,2,2,1.0,1.0,3.0,8103,Chiguayante,55
1,9,2,2924167.0,24,2,0,2,3,3.0,0.0,3.0,8103,Chiguayante,224
1,9,3,1150000.0,24,2,0,2,3,3.0,0.0,3.0,8103,Chiguayante,91
1,11,3,1500000.0,24,2,0,3,3,3.0,0.0,3.0,8103,Chiguayante,119
1,9,3,422917.0,24,1,0,2,2,3.0,0.0,3.0,8103,Chiguayante,74
1,9,2,1067917.0,24,1,0,2,2,1.0,0.0,3.0,8103,Chiguayante,123
1,9,2,1956786.0,24,1,0,3,5,3.0,0.0,3.0,8103,Chiguayante,160
1,11,1,1800000.0,24,2,0,2,3,1.0,1.0,3.0,8103,Chiguayante,69
1,9,2,5300000.0,24,2,0,3,4,3.0,0.0,3.0,8103,Chiguayante,198
1,5,2,1645500.0,24,2,0,5,5,1.0,1.0,3.0,8103,Chiguayante,132
1,9,3,0.0,24,2,0,2,2,3.0,0.0,1.0,8103,Chiguayante,95
1,5,1,2005673.0,25,1,0,3,4,1.0,0.0,3.0,8103,Chiguayante,102
1,3,2,1834109.0,25,1,0,5,7,1.0,,3.0,8103,Chiguayante,91
1,9,2,950857.0,25,1,0,4,6,3.0,0.0,3.0,8103,Chiguayante,77
1,5,2,795900.0,25,2,0,5,4,3.0,0.0,3.0,8103,Chiguayante,95
1,9,2,843917.0,25,1,0,2,2,3.0,0.0,3.0,8103,Chiguayante,84
1,11,2,2220000.0,25,2,0,3,5,3.0,0.0,3.0,8103,Chiguayante,153
1,7,2,1440000.0,25,2,0,4,4,1.0,0.0,3.0,8103,Chiguayante,93
1,9,2,1923333.0,25,1,0,3,5,1.0,0.0,3.0,8103,Chiguayante,105
1,5,2,2062500.0,25,2,0,5,5,3.0,0.0,3.0,8103,Chiguayante,117
1,6,2,1245861.0,25,2,0,5,5,3.0,0.0,3.0,8103,Chiguayante,87
1,5,1,1510000.0,25,1,0,5,4,1.0,0.0,3.0,8103,Chiguayante,92
1,9,1,507826.0,25,2,0,2,5,1.0,1.0,2.0,8103,Chiguayante,85
1,7,2,2228667.0,25,2,0,5,9,3.0,0.0,3.0,8103,Chiguayante,121
1,9,3,1364333.0,25,2,0,2,3,1.0,0.0,3.0,8103,Chiguayante,100
1,9,2,1158152.0,26,1,0,5,7,1.0,1.0,3.0,8103,Chiguayante,21
1,5,2,1350000.0,26,2,0,5,5,2.0,1.0,3.0,8103,Chiguayante,101
1,5,3,450000.0,26,2,0,1,1,2.0,0.0,3.0,8103,Chiguayante,99
1,11,2,2868333.0,26,2,0,2,3,1.0,0.0,3.0,8103,Chiguayante,82
1,11,2,3144000.0,26,2,0,4,4,1.0,0.0,3.0,8103,Chiguayante,76
1,8,2,975917.0,26,2,0,2,2,1.0,0.0,3.0,8103,Chiguayante,73
1,8,3,1671393.0,26,2,0,5,5,1.0,0.0,3.0,8103,Chiguayante,184
1,2,1,968000.0,26,1,0,3,3,1.0,0.0,3.0,8103,Chiguayante,118
1,11,2,5300000.0,26,1,0,3,4,1.0,0.0,3.0,8103,Chiguayante,199
1,6,1,1057614.0,26,1,0,2,4,1.0,0.0,3.0,8103,Chiguayante,87
1,11,2,2100000.0,27,2,1,3,2,1.0,0.0,3.0,8103,Chiguayante,85
1,9,2,623917.0,27,1,0,3,3,1.0,0.0,3.0,8103,Chiguayante,115
1,9,2,2978582.0,27,2,0,3,5,3.0,0.0,3.0,8103,Chiguayante,86
1,11,2,1252254.0,27,1,0,4,3,1.0,0.0,3.0,8103,Chiguayante,101
1,8,2,938000.0,27,1,0,2,3,1.0,0.0,3.0,8103,Chiguayante,84
1,9,2,3880001.0,27,2,0,3,3,3.0,0.0,3.0,8103,Chiguayante,70
1,5,2,1432820.0,27,2,0,5,3,1.0,0.0,3.0,8103,Chiguayante,74
1,11,2,1961667.0,27,2,0,3,3,1.0,0.0,3.0,8103,Chiguayante,107
